DaysMedia,Ideology,VotingDuty,TrustPeople,AttendServices,Education,RoughProtestors,Feminist,HuffPostNews,FoxNewsWeb,GunsOwned,ClintonPostFT,TrumpPostFT,FundamentalistFT,FeministFT,PoorFT,BigBizFT,RichFT,PoliceFT,ScientistFT,BLMFT,WeedLegal,WomenHome,ObamaMuslim
3,99,4,4,4,9,5,3,-1,-1,10,15,85,70,50,70,70,50,70,70,15,2,4,6
7,5,4,3,-1,13,1,3,0,0,0,50,60,50,50,50,40,50,40,70,50,1,4,4
3,99,6,4,-1,9,3,3,-1,-1,1,50,70,40,50,60,70,50,70,70,30,1,1,3
7,99,7,2,1,9,3,3,-1,-1,-9,15,60,60,50,50,40,50,70,50,50,2,1,6
5,4,5,4,2,9,3,3,-1,-1,0,30,15,85,70,85,50,70,85,85,15,2,4,4
7,6,1,3,1,14,3,3,0,1,-9,0,65,50,50,50,70,50,85,50,0,2,4,-8
3,99,1,3,4,5,4,3,-1,-1,0,85,50,70,50,100,50,50,85,100,100,3,4,-8
7,5,7,4,-1,9,1,2,1,0,0,15,85,60,40,100,40,85,85,60,15,1,1,4
7,4,6,2,4,9,1,3,1,1,2,0,70,15,50,50,60,30,100,70,15,1,4,9
7,3,7,2,4,10,3,2,1,0,0,50,60,50,50,50,50,50,85,85,50,3,4,-8
1,99,3,3,-1,7,2,3,0,0,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,2,6,3,-1,10,3,2,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,2,4,-1,13,2,3,1,1,2,40,40,40,50,100,50,85,50,85,70,1,3,9
7,99,7,4,4,12,5,3,0,0,10,0,100,70,15,85,40,50,100,85,0,1,1,1
7,2,2,4,1,14,1,2,1,0,0,70,15,15,85,85,50,60,70,70,85,1,4,10
0,99,4,4,-1,9,3,3,-1,-1,0,0,70,50,15,60,50,60,60,70,50,1,1,8
7,2,1,2,-1,14,1,2,1,0,2,85,15,15,70,70,60,60,70,100,85,1,4,10
6,6,7,3,-1,13,4,3,0,1,0,40,100,85,100,100,70,100,85,100,70,1,4,1
7,3,2,2,4,14,1,2,1,0,1,85,0,15,100,100,40,50,85,100,100,1,4,10
7,99,1,2,2,10,1,3,0,0,0,30,40,50,50,100,40,60,85,85,70,2,1,5
4,5,7,2,2,9,2,2,0,0,13,0,70,60,50,100,50,60,70,50,40,1,4,3
7,3,7,3,-1,12,4,2,0,1,0,5,95,10,40,50,40,90,100,90,10,1,4,6
2,99,7,3,4,10,-9,-9,-1,-1,-9,60,0,998,50,85,15,15,100,85,85,3,2,6
7,6,2,2,1,14,4,3,1,0,1,15,60,70,40,60,60,70,85,60,40,2,4,7
7,7,7,2,-1,8,1,3,-1,-1,-9,0,60,100,50,100,85,85,85,85,15,3,1,3
5,99,4,3,5,7,3,3,-1,-1,-9,0,85,999,50,100,60,60,100,70,50,1,4,2
7,2,7,2,2,13,1,3,0,1,0,30,60,60,60,70,60,70,85,50,70,1,4,8
7,99,2,4,2,9,2,2,0,0,0,15,70,85,50,100,60,100,100,100,50,1,1,4
7,2,1,4,-1,14,1,1,1,0,0,85,0,30,100,100,70,50,85,100,85,1,4,10
7,4,1,2,1,9,2,2,-1,-1,0,30,60,85,60,60,40,50,100,70,50,3,4,-8
6,2,6,2,4,14,1,3,-1,-1,0,40,60,15,70,100,40,85,85,70,85,3,4,8
7,6,1,2,1,13,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,6,1,2,1,10,5,3,-1,-1,-9,0,100,85,60,85,85,85,100,50,50,2,4,6
7,7,1,2,2,13,4,3,-1,-1,0,0,100,100,0,60,60,50,100,60,0,3,1,1
5,4,4,4,1,13,1,3,-1,-1,0,60,15,85,40,100,50,50,40,50,50,2,1,-8
7,2,6,4,4,16,2,3,1,0,4,60,15,15,50,50,40,60,70,70,40,1,1,10
7,99,2,2,-1,9,3,2,1,1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,6,4,1,11,5,3,0,0,1,0,100,60,40,40,50,60,30,30,0,2,2,1
7,4,7,3,-1,4,2,3,-1,-1,0,70,85,70,70,100,85,100,70,100,70,2,1,10
5,2,5,3,4,10,2,2,1,0,0,60,30,70,100,70,40,50,30,60,100,1,4,10
7,6,1,2,2,8,-9,-9,-1,-1,-9,0,85,50,30,50,70,50,100,999,0,2,3,5
7,5,7,2,2,11,4,3,0,1,3,15,60,50,40,50,40,50,85,60,40,3,2,8
7,1,4,4,2,13,1,1,0,0,0,100,0,100,85,100,60,70,85,100,100,2,1,10
7,6,1,4,1,11,5,3,0,0,0,0,100,100,50,85,100,85,100,100,0,3,4,1
7,4,1,2,3,12,4,3,1,0,2,0,60,20,10,80,5,80,90,90,2,1,1,9
7,3,2,2,2,13,1,2,1,0,0,85,0,15,85,70,70,70,60,70,70,1,4,10
7,6,2,1,1,13,3,3,0,0,0,30,15,85,70,100,85,50,85,70,50,3,1,7
4,4,-1,2,4,11,3,3,0,0,1,0,70,30,40,85,30,50,100,70,15,3,1,4
5,2,1,4,-1,95,1,2,0,0,3,40,30,15,50,60,15,30,30,70,50,1,4,10
5,99,7,3,4,8,3,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0,4,4,4,4,11,1,1,-1,-1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,2,1,4,3,14,2,3,0,0,0,75,35,60,50,50,60,50,85,80,30,1,2,6
7,5,7,2,-1,12,2,3,0,0,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,7,4,2,11,4,3,0,1,5,0,85,60,70,85,60,40,100,85,15,3,4,9
7,2,6,2,-1,16,2,2,1,0,0,85,0,15,85,85,50,50,50,85,50,1,4,10
2,3,6,2,-1,12,4,2,0,1,6,60,40,999,60,85,50,85,85,70,40,1,4,-8
7,99,3,5,3,2,1,2,-1,-1,0,85,60,85,100,0,70,100,40,15,50,2,3,10
7,4,1,1,4,13,4,3,-1,-1,0,85,0,998,50,85,40,40,40,70,998,1,2,8
